tag,n,d,p,graph_seed,spsa_seed,opt_cut,best_cut,approx_ratio,est_Ecut,best_str,total_shots,L,D,C_add,C_ratio
geom-aware,6,3,4,1006,2006,7,7,1.0,5.205810546875,001101,245327,43.74960596305345,2.6870734989134695,41.06253246413998,16.281506992921408
fixed1024,6,3,4,1007,2007,7,7,1.0,5.558837890625,010101,384000,60.14208943050114,2.6989691170768637,57.443120313424274,22.283355911696546
default,6,3,4,1007,2007,7,7,1.0,5.61376953125,010101,787683,67.40316333342733,2.681440615947175,64.72172271748015,25.13692189659709
geom-aware,6,3,4,1007,2007,7,7,1.0,5.248046875,011010,247900,82.15089154877606,2.50217989856228,79.64871165021378,32.83172868424804
fixed1024,6,3,4,1008,2008,7,7,1.0,5.47900390625,010101,384000,59.36521983198585,2.4601323070393932,56.90508752494645,24.130905342821976
default,6,3,4,1008,2008,7,7,1.0,5.6142578125,101010,787683,68.93190169929916,2.8427862207280317,66.08911547857113,24.248007534539774
geom-aware,6,3,4,1008,2008,7,3,0.42857142857142855,5.538818359375,001101,432418,89.37574209533302,2.905175101532258,86.47056699380076,30.7643219330202
fixed1024,6,3,4,1009,2009,7,7,1.0,5.558349609375,101010,384000,58.46817239635357,2.7627746634215455,55.70539773293203,21.1628451536268
default,6,3,4,1009,2009,7,7,1.0,5.60986328125,010011,787683,74.53565001003203,2.693127843443942,71.84252216658808,27.676239058416428
geom-aware,6,3,4,1009,2009,7,7,1.0,5.361083984375,101010,300596,92.27347296885362,2.1967532997019554,90.07671966915167,42.00447678006121
fixed1024,6,3,4,1010,2010,7,7,1.0,5.554931640625,101001,384000,92.17674514313215,2.6897165425831835,89.48702860054897,34.27005919910293
default,6,3,4,1010,2010,7,7,1.0,5.3935546875,101001,787683,92.157302628949,2.192974141699491,89.9643284872495,42.02388932754573
geom-aware,6,3,4,1010,2010,7,7,1.0,5.11376953125,010101,265201,115.40556904981916,1.9595695063763279,113.44599954344284,58.89332767952144
fixed1024,6,3,4,1011,2011,7,7,1.0,6.772216796875,001101,384000,151.6621538547298,3.0256042665322624,148.63654958819754,50.12623611499413
default,6,3,4,1011,2011,7,7,1.0,6.725830078125,001101,787683,130.3002276665354,2.6054857705389405,127.69474189599646,50.00995558673998
